"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.111751880E-1,9.685743332E0,-3.830722719E-2,9.397241473E-1,9.731298619E0
7.211282710E-1,9.682151794E0,-3.591302410E-2,9.385270476E-1,9.727599197E0
7.311057760E-1,9.679757118E0,-3.591302410E-2,9.193734527E-1,9.723385992E0
7.411031480E-1,9.688137054E0,-3.112462163E-2,9.241618514E-1,9.732165404E0
7.511087870E-1,9.677363396E0,-3.351882473E-2,9.169792533E-1,9.720768321E0
7.610997060E-1,9.680954933E0,-2.873042040E-2,9.241618514E-1,9.725008431E0
7.711250090E-1,9.685743332E0,-3.711012751E-2,9.169792533E-1,9.729123907E0
7.810962020E-1,9.684545517E0,-3.830722719E-2,9.265560508E-1,9.728843478E0
7.910902360E-1,9.680954933E0,-3.112462163E-2,9.457096457E-1,9.727087123E0
8.010869410E-1,9.683348656E0,-3.591302410E-2,9.301473498E-1,9.727985661E0
8.111061530E-1,9.679757118E0,-3.112462163E-2,9.313444495E-1,9.724508681E0
8.210884930E-1,9.686940193E0,-4.429273307E-2,9.301473498E-1,9.731595257E0
8.311546370E-1,9.691728592E0,-3.711012751E-2,9.289502501E-1,9.736217378E0
8.411640370E-1,9.691728592E0,-3.591302410E-2,9.205705523E-1,9.735416940E0
8.511245180E-1,9.685743332E0,-3.232172132E-2,9.121908545E-1,9.728656677E0
8.612023110E-1,9.692925453E0,-3.232172132E-2,9.050082564E-1,9.735136798E0
8.711430300E-1,9.678560257E0,-3.232172132E-2,9.097966552E-1,9.721280949E0
8.811536240E-1,9.682151794E0,-3.232172132E-2,9.169792533E-1,9.725531297E0
8.913153010E-1,9.679757118E0,-3.112462163E-2,9.229647517E-1,9.723709711E0
9.011925460E-1,9.689333916E0,-2.753331885E-2,9.229647517E-1,9.733232441E0
9.114327310E-1,9.683348656E0,-4.070143029E-2,9.253589511E-1,9.727547840E0
9.215575370E-1,9.685743332E0,-2.633621916E-2,9.169792533E-1,9.729088777E0
9.314272060E-1,9.682151794E0,-3.830722719E-2,9.193734527E-1,9.725779062E0
9.413020400E-1,9.696516991E0,-3.471592441E-2,9.217676520E-1,9.740292734E0
9.514151600E-1,9.689333916E0,-3.232172132E-2,9.253589511E-1,9.733474488E0
9.613284910E-1,9.682151794E0,-3.112462163E-2,9.181763530E-1,9.725640335E0
9.712384900E-1,9.689333916E0,-4.189852998E-2,9.109937549E-1,9.732155817E0
9.811745310E-1,9.679757118E0,-3.112462163E-2,9.109937549E-1,9.722580739E0
9.911298950E-1,9.676166534E0,-2.633621916E-2,9.109937549E-1,9.718991821E0
1.001103593E0,9.689333916E0,-2.633621916E-2,9.109937549E-1,9.732101261E0
1.011107291E0,9.686940193E0,-3.950432688E-2,9.181763530E-1,9.730437745E0
1.021502890E0,9.686940193E0,-4.189852998E-2,9.157821536E-1,9.730222132E0
1.031356783E0,9.684545517E0,-3.351882473E-2,9.217676520E-1,9.728370932E0
1.041231620E0,9.684545517E0,-3.830722719E-2,9.145850539E-1,9.727710683E0
1.051191956E0,9.684545517E0,-3.351882473E-2,9.121908545E-1,9.727468198E0
1.061160092E0,9.691728592E0,-4.070143029E-2,9.002198577E-1,9.733532529E0
1.071122442E0,9.686940193E0,-3.112462163E-2,8.966285586E-1,9.728397701E0
1.081717236E0,9.674968719E0,-3.591302410E-2,9.097966552E-1,9.717717809E0
1.091464113E0,9.690531731E0,-2.992752194E-2,8.990227580E-1,9.732191058E0
1.101291145E0,9.685743332E0,-4.429273307E-2,9.050082564E-1,9.728032981E0
1.111191588E0,9.683348656E0,-3.471592441E-2,9.062053561E-1,9.725721286E0
1.121128867E0,9.683348656E0,-3.232172132E-2,9.085995555E-1,9.725936409E0
1.131487116E0,9.688137054E0,-4.070143029E-2,9.074024558E-1,9.730623588E0
1.141340459E0,9.689333916E0,-4.070143029E-2,9.157821536E-1,9.732600130E0
1.151732469E0,9.685743332E0,-3.351882473E-2,9.062053561E-1,9.728101333E0
1.161460661E0,9.685743332E0,-3.351882473E-2,9.062053561E-1,9.728101333E0
1.171354445E0,9.694122314E0,-3.232172132E-2,9.074024558E-1,9.736551307E0
1.181214540E0,9.686940193E0,-3.351882473E-2,9.050082564E-1,9.729181557E0
1.191216645E0,9.688137054E0,-3.711012751E-2,8.990227580E-1,9.729831379E0
1.201146395E0,9.690531731E0,-4.070143029E-2,8.966285586E-1,9.732009279E0
1.211230255E0,9.679757118E0,-3.471592441E-2,9.038111567E-1,9.721922530E0
1.221206742E0,9.690531731E0,-3.591302410E-2,9.133879542E-1,9.733548814E0
1.231411652E0,9.684545517E0,-3.351882473E-2,9.085995555E-1,9.727132082E0
1.241304341E0,9.674968719E0,-3.112462163E-2,9.097966552E-1,9.717701293E0
1.251393498E0,9.686940193E0,-2.992752194E-2,9.014169574E-1,9.728836441E0
1.261351723E0,9.678560257E0,-2.753331885E-2,9.002198577E-1,9.720374608E0
1.271211200E0,9.683348656E0,-2.513911761E-2,9.026140571E-1,9.725357849E0
1.281144714E0,9.685743332E0,-3.711012751E-2,9.085995555E-1,9.728337690E0
1.291113294E0,9.679757118E0,-2.992752194E-2,8.882488012E-1,9.720472183E0
1.301174303E0,9.684545517E0,-3.112462163E-2,8.954314590E-1,9.725902946E0
1.311197490E0,9.686940193E0,-3.591302410E-2,9.074024558E-1,9.729413100E0
1.321489109E0,9.680954933E0,-3.591302410E-2,9.062053561E-1,9.723342343E0
1.333275466E0,9.678560257E0,-3.351882473E-2,9.038111567E-1,9.720726658E0
1.342284504E0,9.678560257E0,-3.351882473E-2,9.038111567E-1,9.720726658E0
1.351680871E0,9.689333916E0,-3.950432688E-2,9.074024558E-1,9.731810291E0
1.361401503E0,9.688137054E0,-3.351882473E-2,9.109937549E-1,9.730931750E0
1.371472574E0,9.684545517E0,-2.753331885E-2,9.109937549E-1,9.727337229E0
1.381350037E0,9.686940193E0,-3.711012751E-2,9.062053561E-1,9.729306019E0
1.391268352E0,9.686940193E0,-3.232172132E-2,8.990227580E-1,9.728622560E0
1.401210113E0,9.688137054E0,-4.429273307E-2,8.978256583E-1,9.729750888E0
1.411392973E0,9.685743332E0,-3.112462163E-2,8.978256583E-1,9.727316359E0
1.421307320E0,9.685743332E0,-2.873042040E-2,9.050082564E-1,9.727974572E0
1.431244701E0,9.686940193E0,-3.591302410E-2,8.978256583E-1,9.728524604E0
1.441154460E0,9.679757118E0,-3.351882473E-2,8.930372596E-1,9.720922638E0
1.451119131E0,9.686940193E0,-4.429273307E-2,8.966285586E-1,9.728448742E0
1.461524956E0,9.689333916E0,-3.351882473E-2,9.026140571E-1,9.731342527E0
1.471345707E0,9.683348656E0,-2.992752194E-2,9.026140571E-1,9.725371406E0
1.481233478E0,9.688137054E0,-3.112462163E-2,9.026140571E-1,9.730142880E0
1.491165150E0,9.684545517E0,-3.950432688E-2,9.014169574E-1,9.726486261E0
1.501142132E0,9.688137054E0,-3.830722719E-2,9.014169574E-1,9.730057531E0
1.511239529E0,9.684545517E0,-2.992752194E-2,8.954314590E-1,9.725899188E0
1.521533801E0,9.677363396E0,-3.112462163E-2,9.026140571E-1,9.719415783E0
1.531365468E0,9.683348656E0,-2.873042040E-2,9.062053561E-1,9.725701762E0
1.541532447E0,9.682151794E0,-3.471592441E-2,8.978256583E-1,9.723752335E0
1.551306171E0,9.682151794E0,-4.309562966E-2,9.002198577E-1,9.724007219E0
1.561528736E0,9.686940193E0,-3.830722719E-2,9.002198577E-1,9.728754984E0
1.571314237E0,9.686940193E0,-3.471592441E-2,9.109937549E-1,9.729744350E0
1.582221597E0,9.688137054E0,-3.711012751E-2,8.966285586E-1,9.729610451E0
1.591856111E0,9.682151794E0,-3.591302410E-2,9.026140571E-1,9.724199980E0
1.601516310E0,9.686940193E0,-3.471592441E-2,9.014169574E-1,9.728852349E0
1.611576280E0,9.682151794E0,-2.633621916E-2,9.002198577E-1,9.723947386E0
1.621323530E0,9.682151794E0,-2.633621916E-2,9.026140571E-1,9.724169327E0
1.631620671E0,9.680954933E0,-3.950432688E-2,8.918401599E-1,9.722027972E0
1.641380465E0,9.683348656E0,-3.471592441E-2,8.990227580E-1,9.725054668E0
1.651359164E0,9.689333916E0,-2.992752194E-2,8.942343593E-1,9.730557151E0
1.661224556E0,9.686940193E0,-3.711012751E-2,9.050082564E-1,9.729194592E0
1.672073163E0,9.683348656E0,-3.950432688E-2,8.978256583E-1,9.724962349E0
1.682000201E0,9.685743332E0,-3.351882473E-2,9.002198577E-1,9.727545589E0
1.691727131E0,9.688137054E0,-3.232172132E-2,9.038111567E-1,9.730257904E0
1.701451742E0,9.697713852E0,-3.351882473E-2,8.966285586E-1,9.739133444E0
1.711298319E0,9.688137054E0,-3.112462163E-2,8.930372596E-1,9.729259164E0
1.721265123E0,9.680954933E0,-3.232172132E-2,9.097966552E-1,9.723665105E0
1.731199827E0,9.686940193E0,-3.232172132E-2,8.978256583E-1,9.728512009E0
1.741145017E0,9.692925453E0,-2.753331885E-2,8.990227580E-1,9.734567471E0
1.751128029E0,9.684545517E0,-3.471592441E-2,8.918401599E-1,9.725585121E0
1.762849118E0,9.686940193E0,-3.351882473E-2,8.966285586E-1,9.728405655E0
1.771962814E0,9.689333916E0,-3.112462163E-2,9.014169574E-1,9.731223613E0
1.781586771E0,9.691728592E0,-2.633621916E-2,8.942343593E-1,9.732931305E0
1.791349531E0,9.691728592E0,-3.830722719E-2,8.882488012E-1,9.732422950E0
1.801232447E0,9.692925453E0,-3.711012751E-2,8.882488012E-1,9.733610170E0
1.811244791E0,9.680954933E0,-3.232172132E-2,8.906430602E-1,9.721891697E0
1.821575208E0,9.682151794E0,-3.351882473E-2,9.002198577E-1,9.723969492E0
1.831358124E0,9.684545517E0,-3.711012751E-2,8.930372596E-1,9.725703809E0
1.841257239E0,9.691728592E0,-2.753331885E-2,8.930372596E-1,9.732824705E0
1.851175416E0,9.686940193E0,-4.070143029E-2,9.014169574E-1,9.728875549E0
1.861305494E0,9.692925453E0,-2.992752194E-2,8.906430602E-1,9.733804218E0
1.871205403E0,9.689333916E0,-3.711012751E-2,8.906430602E-1,9.730252512E0
1.881149029E0,9.683348656E0,-3.591302410E-2,9.062053561E-1,9.725725633E0
1.891164123E0,9.683348656E0,-2.394201607E-2,8.906430602E-1,9.724251101E0
1.901173806E0,9.684545517E0,-3.232172132E-2,9.014169574E-1,9.726459741E0
1.911263101E0,9.690531731E0,-2.992752194E-2,8.942343593E-1,9.731749892E0
1.921172852E0,9.684545517E0,-3.830722719E-2,8.954314590E-1,9.725928584E0
1.931190384E0,9.683348656E0,-2.633621916E-2,8.822633028E-1,9.723493370E0
1.941143186E0,9.684545517E0,-3.591302410E-2,8.810662031E-1,9.724607410E0
1.951162790E0,9.674968719E0,-2.633621916E-2,9.002198577E-1,9.716795208E0
1.961126108E0,9.688137054E0,-2.992752194E-2,8.906430602E-1,9.729035939E0
1.971105293E0,9.686940193E0,-3.351882473E-2,9.038111567E-1,9.729070275E0
1.981080563E0,9.682151794E0,-3.471592441E-2,8.966285586E-1,9.723641876E0
1.991089161E0,9.684545517E0,-4.429273307E-2,8.990227580E-1,9.726285295E0
2.002290752E0,9.685743332E0,-3.112462163E-2,8.966285586E-1,9.727205940E0
2.011711339E0,9.690531731E0,-3.232172132E-2,8.870517015E-1,9.731100176E0
2.021397544E0,9.690531731E0,-3.351882473E-2,8.870517015E-1,9.731104226E0
2.031239709E0,9.682151794E0,-3.351882473E-2,8.954314590E-1,9.723527363E0
2.041272172E0,9.689333916E0,-4.189852998E-2,8.966285586E-1,9.730821650E0
2.051185278E0,9.692925453E0,-2.633621916E-2,8.882488012E-1,9.733575056E0
2.061776441E0,9.695320129E0,-3.591302410E-2,8.930372596E-1,9.736428385E0
2.071427178E0,9.686940193E0,-3.830722719E-2,8.918401599E-1,9.727983173E0
2.081321974E0,9.679757118E0,-2.992752194E-2,9.014169574E-1,9.721684322E0
2.091510778E0,9.692925453E0,-3.112462163E-2,8.858546019E-1,9.733370997E0
2.101344503E0,9.684545517E0,-3.112462163E-2,8.846575022E-1,9.724916941E0
2.112096600E0,9.678560257E0,-2.394201607E-2,8.978256583E-1,9.720143660E0
2.121584810E0,9.685743332E0,-3.591302410E-2,8.978256583E-1,9.727332859E0
2.132515243E0,9.686940193E0,-3.591302410E-2,8.930372596E-1,9.728083861E0
2.141837673E0,9.686940193E0,-3.950432688E-2,9.014169574E-1,9.728870614E0
2.151459539E0,9.685743332E0,-3.591302410E-2,8.930372596E-1,9.726892062E0
2.161285264E0,9.680954933E0,-3.711012751E-2,8.918401599E-1,9.722018538E0
2.171379507E0,9.685743332E0,-3.950432688E-2,8.966285586E-1,9.727236363E0
2.181272331E0,9.690531731E0,-3.112462163E-2,8.918401599E-1,9.731533941E0
2.191301686E0,9.690531731E0,-3.232172132E-2,8.894459605E-1,9.731318720E0
2.201181285E0,9.680954933E0,-3.232172132E-2,8.954314590E-1,9.722331542E0
2.211153507E0,9.686940193E0,-3.112462163E-2,8.918401599E-1,9.727957541E0
2.221132847E0,9.679757118E0,-3.471592441E-2,8.990227580E-1,9.721478539E0
2.231282334E0,9.683348656E0,-3.112462163E-2,8.870517015E-1,9.723943164E0
2.241222833E0,9.688137054E0,-2.873042040E-2,9.014169574E-1,9.730024540E0
2.251444541E0,9.691728592E0,-3.711012751E-2,9.002198577E-1,9.733518174E0
2.261319405E0,9.686940193E0,-2.035071515E-2,9.026140571E-1,9.728922684E0
2.271200587E0,9.680954933E0,-2.753331885E-2,9.026140571E-1,9.722980954E0
2.281139902E0,9.689333916E0,-2.753331885E-2,8.990227580E-1,9.730991303E0
2.291335081E0,9.688137054E0,-2.992752194E-2,9.050082564E-1,9.730361514E0
2.301263686E0,9.689333916E0,-2.992752194E-2,8.966285586E-1,9.730777469E0
2.311211816E0,9.683348656E0,-3.351882473E-2,8.966285586E-1,9.724829431E0
2.321215022E0,9.678560257E0,-3.112462163E-2,8.906430602E-1,9.719503200E0
2.331242354E0,9.690531731E0,-3.471592441E-2,9.026140571E-1,9.732539368E0
2.341165421E0,9.683348656E0,-3.351882473E-2,8.954314590E-1,9.724719132E0
2.351125262E0,9.688137054E0,-3.471592441E-2,9.085995555E-1,9.730712098E0
2.361129948E0,9.695320129E0,-2.992752194E-2,8.966285586E-1,9.736738203E0
2.371468333E0,9.689333916E0,-3.112462163E-2,8.990227580E-1,9.731002127E0
2.381413932E0,9.686940193E0,-2.873042040E-2,9.121908545E-1,9.729836992E0
2.391349778E0,9.694122314E0,-3.830722719E-2,9.050082564E-1,9.736350180E0
2.401247336E0,9.683348656E0,-3.232172132E-2,9.145850539E-1,9.726497402E0
2.411171402E0,9.686940193E0,-4.429273307E-2,9.050082564E-1,9.729224640E0
2.421124971E0,9.684545517E0,-3.351882473E-2,8.942343593E-1,9.725800762E0
2.432572225E0,9.692925453E0,-3.711012751E-2,8.930372596E-1,9.734048312E0
2.441878612E0,9.692925453E0,-3.711012751E-2,8.930372596E-1,9.734048312E0
2.451495087E0,9.682151794E0,-3.232172132E-2,8.978256583E-1,9.723744082E0
2.461478090E0,9.683348656E0,-4.429273307E-2,9.085995555E-1,9.725983559E0
2.471280451E0,9.680954933E0,-2.753331885E-2,9.026140571E-1,9.722980954E0
2.481185459E0,9.676166534E0,-2.633621916E-2,9.157821536E-1,9.719441823E0
2.491127729E0,9.674968719E0,-3.351882473E-2,9.085995555E-1,9.717597254E0
2.501234801E0,9.683348656E0,-3.112462163E-2,9.050082564E-1,9.725597662E0
2.511271384E0,9.692925453E0,-3.830722719E-2,9.038111567E-1,9.735047298E0
2.521243296E0,9.680954933E0,-2.633621916E-2,9.038111567E-1,9.723088842E0
2.531196413E0,9.682151794E0,-3.471592441E-2,9.014169574E-1,9.724084589E0
