"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.274380200E-2,-3.136404157E-1,9.387664795E0,2.171540976E0,9.640654066E0
5.385664000E-2,-3.136404157E-1,9.387664795E0,2.171540976E0,9.640654066E0
6.945889300E-2,-3.184288144E-1,9.374496460E0,2.189497471E0,9.632054815E0
8.219384700E-2,-3.423708379E-1,9.368511200E0,1.887827992E0,9.562955318E0
9.353554300E-2,-3.435679376E-1,9.382876396E0,1.751358509E0,9.551108052E0
1.042935260E-1,-3.220201433E-1,9.435548782E0,1.654393315E0,9.584899323E0
1.146596270E-1,-3.076549172E-1,9.489418030E0,1.596932530E0,9.627767114E0
1.252622610E-1,-2.885012925E-1,9.509769440E0,1.614889026E0,9.650223539E0
1.354487860E-1,-2.992752194E-1,9.476250648E0,1.685518026E0,9.629634626E0
1.454000440E-1,-3.124433160E-1,9.445125580E0,1.762132406E0,9.613174744E0
1.552798910E-1,-3.196259141E-1,9.427168846E0,1.817199111E0,9.606033822E0
1.651469500E-1,-3.387795389E-1,9.391256332E0,1.896207690E0,9.586765392E0
1.755156880E-1,-3.399766386E-1,9.369708061E0,1.960851192E0,9.578723854E0
1.852357600E-1,-3.339911401E-1,9.357737541E0,1.951274395E0,9.564845725E0
1.950505360E-1,-3.292027414E-1,9.397241592E0,1.917755604E0,9.596578064E0
2.050022990E-1,-3.100491166E-1,9.431957245E0,1.859097600E0,9.618429800E0
2.156726600E-1,-2.956839204E-1,9.454702377E0,1.789665818E0,9.627135076E0
2.253509650E-1,-2.873041928E-1,9.451110840E0,1.720233917E0,9.610683875E0
2.351666540E-1,-2.873041928E-1,9.467870712E0,1.692700624E0,9.622284288E0
2.454702280E-1,-3.315969408E-1,9.461885452E0,1.697489023E0,9.618664243E0
2.555536030E-1,-3.543418646E-1,9.440337181E0,1.729810715E0,9.604049633E0
2.656612020E-1,-3.399766386E-1,9.411606789E0,1.854309201E0,9.598561823E0
2.753257310E-1,-3.363853395E-1,9.396044731E0,1.891419291E0,9.590426405E0
2.855888030E-1,-3.064578176E-1,9.399636269E0,1.912967205E0,9.597214278E0
2.953010940E-1,-2.932897210E-1,9.408015251E0,1.886630893E0,9.599799266E0
3.053234110E-1,-2.956839204E-1,9.431957245E0,1.816002011E0,9.609740358E0
3.151758200E-1,-3.052607179E-1,9.437943459E0,1.778891921E0,9.608975872E0
3.255781440E-1,-3.160346150E-1,9.441534042E0,1.763329506E0,9.609983033E0
3.353037330E-1,-3.196259141E-1,9.443928719E0,1.750161409E0,9.610047623E0
3.453287670E-1,-3.351882398E-1,9.443928719E0,1.769315004E0,9.614084272E0
3.552084720E-1,-3.471592367E-1,9.427168846E0,1.789665818E0,9.601819397E0
3.650826730E-1,-3.459621370E-1,9.427168846E0,1.814804912E0,9.606493591E0
3.750037840E-1,-3.399766386E-1,9.414001465E0,1.830367208E0,9.596314491E0
3.857687150E-1,-3.100491166E-1,9.409213066E0,1.845929503E0,9.593585185E0
3.967065970E-1,-2.980781198E-1,9.414001465E0,1.845929503E0,9.597902369E0
4.060055120E-1,-3.016694188E-1,9.422380447E0,1.825578809E0,9.602343241E0
4.156929120E-1,-3.016694188E-1,9.422380447E0,1.825578809E0,9.602343241E0
4.254017940E-1,-3.100491166E-1,9.421183586E0,1.805228114E0,9.597587153E0
4.353052980E-1,-3.351882398E-1,9.440337181E0,1.795651317E0,9.615439714E0
4.450946020E-1,-3.339911401E-1,9.431957245E0,1.781286120E0,9.604496228E0
4.557479000E-1,-3.303998411E-1,9.435548782E0,1.776497602E0,9.607012471E0
4.653803820E-1,-3.232172430E-1,9.439140320E0,1.802833915E0,9.615198879E0
4.751995920E-1,-3.076549172E-1,9.423578262E0,1.820790410E0,9.602799411E0
4.850512800E-1,-3.004723191E-1,9.430760384E0,1.839944005E0,9.613267861E0
4.950141810E-1,-3.028665185E-1,9.429563522E0,1.850717902E0,9.614237001E0
5.050244340E-1,-3.148375154E-1,9.419986725E0,1.842338204E0,9.603618204E0
5.149537790E-1,-3.148375154E-1,9.425971985E0,1.829170108E0,9.606973186E0
5.249300660E-1,-3.232172430E-1,9.418789864E0,1.799242616E0,9.594547716E0
5.349455790E-1,-3.292027414E-1,9.425971985E0,1.783680320E0,9.598897738E0
5.450989350E-1,-3.303998411E-1,9.431957245E0,1.793257117E0,9.606599430E0
5.550821490E-1,-3.315969408E-1,9.440337181E0,1.780089021E0,9.612421107E0
5.651472720E-1,-3.220201433E-1,9.429563522E0,1.805228114E0,9.606207042E0
5.750685310E-1,-3.196259141E-1,9.430760384E0,1.806425214E0,9.607526955E0
5.853720250E-1,-3.100491166E-1,9.418789864E0,1.821987510E0,9.598404630E0
5.951740590E-1,-3.160346150E-1,9.418789864E0,1.825578809E0,9.599282179E0
6.050379410E-1,-3.148375154E-1,9.415198326E0,1.829170108E0,9.596402736E0
6.149601160E-1,-3.196259141E-1,9.424775124E0,1.827973008E0,9.605729133E0
6.251276620E-1,-3.303998411E-1,9.428366661E0,1.804031014E0,9.605091871E0
6.355028930E-1,-3.256114423E-1,9.435548782E0,1.808819413E0,9.612878409E0
6.452085550E-1,-3.256114423E-1,9.435548782E0,1.808819413E0,9.612878409E0
6.551749020E-1,-3.208230138E-1,9.437943459E0,1.807622313E0,9.614842826E0
6.650692470E-1,-3.220201433E-1,9.428366661E0,1.806425214E0,9.605257254E0
6.749987640E-1,-3.136404157E-1,9.430760384E0,1.808819413E0,9.607780149E0
6.851418030E-1,-3.196259141E-1,9.428366661E0,1.821987510E0,9.608116210E0
